left_ir,right_ir,pos,left_motor,right_motor
428,712,l,24,-24
448,671,l,24,-24
449,566,l,24,-24
421,461,l,24,-24
406,361,g,24,24
408,366,g,24,24
399,336,g,24,24
387,341,g,24,24
359,310,g,24,24
328,343,g,24,24
312,316,g,24,24
300,233,g,24,24
315,156,g,24,24
349,185,g,24,24
405,227,g,24,24
435,273,g,24,24
433,340,g,24,24
418,353,g,24,24
419,379,g,24,24
420,373,g,24,24
422,355,g,24,24
411,342,g,24,24
391,326,g,24,24
391,340,g,24,24
389,359,g,24,24
357,353,g,24,24
364,330,g,24,24
425,331,g,24,24
466,354,g,24,24
476,363,g,24,24
477,381,g,24,24
438,385,g,24,24
396,346,g,24,24
375,367,g,24,24
394,452,l,24,-24
398,486,l,24,-24
414,516,l,24,-24
407,509,l,24,-24
389,462,l,24,-24
376,385,g,24,24
379,287,g,24,24
381,282,g,24,24
370,268,g,24,24
344,281,g,24,24
344,297,g,24,24
367,302,g,24,24
380,270,g,24,24
373,284,g,24,24
340,257,g,24,24
332,235,g,24,24
339,216,g,24,24
320,213,g,24,24
329,244,g,24,24
354,277,g,24,24
366,270,g,24,24
354,246,g,24,24
342,268,g,24,24
321,296,g,24,24
306,328,g,24,24
308,376,g,24,24
324,395,g,24,24
322,421,l,24,-24
298,483,l,24,-24
301,473,l,24,-24
318,444,l,24,-24
325,383,g,24,24
339,309,g,24,24
355,277,g,24,24
373,239,g,24,24
390,233,g,24,24
395,243,g,24,24
391,256,g,24,24
374,305,g,24,24
357,321,g,24,24
347,302,g,24,24
